"","species","genus_species","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory1","redlistCategory2","redlistCategory3","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16"
"6181","Plagiodontia aedium","Plagiodontia aedium","Capromyidae","Rodentia",1267,1,"Yes",18.92197,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6182","Plagiodontia araeum","Plagiodontia araeum","Capromyidae",NA,1267,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6183","Plagiodontia ipnaeum","Plagiodontia ipnaeum","Capromyidae","Rodentia",1267,0,"Yes",19.095,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6184","Planigale gilesi","Planigale gilesi","Dasyuridae","Dasyuromorphia",9.2,1,"Yes",-29.551357,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6185","Planigale ingrami","Planigale ingrami","Dasyuridae","Dasyuromorphia",4.25,1,"Yes",-17.595326,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6186","Planigale maculata","Planigale maculata","Dasyuridae","Dasyuromorphia",11,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6187","Planigale novaeguineae","Planigale novaeguineae","Dasyuridae","Dasyuromorphia",14.9,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6188","Planigale tenuirostris","Planigale tenuirostris","Dasyuridae","Dasyuromorphia",6.05,1,"Yes",-29.916,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6189","Platacanthomys lasiurus","Platacanthomys lasiurus","Platacanthomyidae","Rodentia",75,1,"Yes",11.928035,"Vulnerable",NA,NA,"medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6190","Platalina genovensium","Platalina genovensium","Phyllostomidae","Chiroptera",16.25,1,"Yes",-15.794616,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6191","Platanista gangetica","Platanista gangetica","Platanistidae","Cetacea",115000,1,"Yes",26.607225,"Endangered",NA,NA,"food_human","other_chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6192","Platanista indi","Platanista indi","Platanistidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6193","Platanista minor","Platanista minor","Platanistidae","Cetacea",83914.59,1,"Yes",27.666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6194","Platodontopithecus jianghuaiensis","Platodontopithecus jianghuaiensis",NA,"Primates",NA,NA,"Yes",33.450001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6195","Platygonus compressus","Platygonus compressus","Tayassuidae","Artiodactyla",NA,NA,"Yes",29.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6196","Platymops setiger","Platymops setiger","Molossidae","Chiroptera",13,1,"Yes",0.433333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6197","Platyrrhinus albericoi","Platyrrhinus albericoi","Phyllostomidae","Chiroptera",NA,NA,"Yes",5.0500975,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6198","Platyrrhinus angustirostris",NA,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6199","Platyrrhinus aquilus",NA,NA,NA,NA,NA,"No",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6200","Platyrrhinus aurarius","Platyrrhinus aurarius","Phyllostomidae","Chiroptera",34.15,1,"Yes",5.125,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6201","Platyrrhinus brachycephalus","Platyrrhinus brachycephalus","Phyllostomidae","Chiroptera",14.1,1,"Yes",-2.58152193467238,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6202","Platyrrhinus chocoensis","Platyrrhinus chocoensis","Phyllostomidae","Chiroptera",22,2,"No",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6203","Platyrrhinus dorsalis","Platyrrhinus dorsalis","Phyllostomidae","Chiroptera",26,1,"Yes",3.766333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6204","Platyrrhinus fusciventris",NA,"Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6205","Platyrrhinus guianensis","Platyrrhinus guianensis","Phyllostomidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6206","Platyrrhinus helleri","Platyrrhinus helleri","Phyllostomidae","Chiroptera",13.5,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6207","Platyrrhinus incarum","Platyrrhinus helleri incarum","Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6208","Platyrrhinus infuscus","Platyrrhinus infuscus","Phyllostomidae","Chiroptera",50.2,1,"Yes",-11.3,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6209","Platyrrhinus ismaeli","Platyrrhinus ismaeli","Phyllostomidae","Chiroptera",NA,NA,"Yes",-5.4,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6210","Platyrrhinus lineatus","Platyrrhinus lineatus","Phyllostomidae","Chiroptera",24.36,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6211","Platyrrhinus masu","Platyrrhinus masu","Phyllostomidae","Chiroptera",NA,NA,"Yes",-13.054669,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6212","Platyrrhinus matapalensis","Platyrrhinus matapalensis","Phyllostomidae","Chiroptera",NA,NA,"Yes",-1.58,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6213","Platyrrhinus nigellus","Platyrrhinus lineatus nigellus","Phyllostomidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6214","Platyrrhinus nitelinea",NA,NA,NA,NA,NA,"No",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6215","Platyrrhinus recifinus","Platyrrhinus recifinus","Phyllostomidae","Chiroptera",22,2,"Yes",-22.383,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6216","Platyrrhinus umbratus","Platyrrhinus umbratus","Phyllostomidae","Chiroptera",24.5,1,"Yes",10.43,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6217","Platyrrhinus vittatus","Platyrrhinus vittatus","Phyllostomidae","Chiroptera",41.4,1,"Yes",8.12,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218","Plecotus alpinus","Plecotus macrobullaris","Vespertilionidae","Chiroptera",7.56,0,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6219","Plecotus ariel","Plecotus ariel",NA,NA,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6220","Plecotus auritus","Plecotus auritus","Vespertilionidae","Chiroptera",7.83,1,"Yes",52.069353,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6221","Plecotus austriacus","Plecotus austriacus","Vespertilionidae","Chiroptera",7.3,1,"No",NA,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6222","Plecotus balensis","Plecotus balensis","Vespertilionidae","Chiroptera",7.56,0,"Yes",7.947717,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6223","Plecotus christii","Plecotus christii","Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6224","Plecotus homochrous","Plecotus homochrous","Vespertilionidae","Chiroptera",NA,NA,"Yes",29.358333,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6225","Plecotus kolombatovici","Plecotus kolombatovici","Vespertilionidae","Chiroptera",7.56,0,"Yes",43.25983,"Near Threatened","Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6226","Plecotus kozlovi","Plecotus kozlovi","Vespertilionidae","Chiroptera",NA,NA,"Yes",45.261815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6227","Plecotus macrobullaris","Plecotus macrobullaris","Vespertilionidae","Chiroptera",NA,NA,"No",NA,"Near Threatened","Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228","Plecotus naderi","Plecotus naderi",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6229","Plecotus ognevi","Plecotus ognevi","Vespertilionidae","Chiroptera",NA,NA,"Yes",50.84,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6230","Plecotus sacrimontis","Plecotus sacrimontis","Vespertilionidae","Chiroptera",NA,NA,"Yes",35.8411332238888,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6231","Plecotus sardus","Plecotus sardus","Vespertilionidae","Chiroptera",7.56,0,"Yes",40.258057,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6232","Plecotus strelkovi","Plecotus strelkovi","Vespertilionidae","Chiroptera",NA,NA,"Yes",36.2339,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6233","Plecotus taivanus","Plecotus taivanus","Vespertilionidae","Chiroptera",8.54,2,"Yes",24.366454,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6234","Plecotus teneriffae","Plecotus teneriffae","Vespertilionidae","Chiroptera",8.33,2,"No",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6235","Plecotus turkmenicus","Plecotus turkmenicus","Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6236","Plecotus wardi","Plecotus wardi","Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6237","Plecturocebus aureipalatii","Plecturocebus aureipalatii",NA,"Primates",NA,NA,"Yes",-12.875409,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6238","Plecturocebus baptista","Plecturocebus baptista",NA,NA,NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6239","Plecturocebus bernhardi","Plecturocebus bernhardi","Pitheciidae","Primates",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6240","Plecturocebus brunneus","Plecturocebus brunneus","Pitheciidae","Primates",NA,NA,"Yes",-12.7112885,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6241","Plecturocebus caligatus","Plecturocebus caligatus","Pitheciidae","Primates",NA,NA,"Yes",-4.3583335,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6242","Plecturocebus caquetensis","Callicebus caquetensis",NA,NA,NA,NA,"No",NA,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6243","Plecturocebus cinerascens","Plecturocebus cinerascens","Pitheciidae","Primates",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6244","Plecturocebus cupreus","Plecturocebus cupreus","Pitheciidae","Primates",NA,NA,"Yes",-3.878646,"Least Concern",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6245","Plecturocebus discolor","Callicebus discolor",NA,NA,NA,NA,"No",NA,"Least Concern",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6246","Plecturocebus donacophilus","Plecturocebus donacophilus","Pitheciidae","Primates",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6247","Plecturocebus dubius","Plecturocebus caligatus",NA,NA,NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6248","Plecturocebus grovesi","Plecturocebus grovesi","Pitheciidae","Primates",NA,NA,"Yes",NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6249","Plecturocebus hoffmannsi","Plecturocebus hoffmannsi","Pitheciidae","Primates",NA,NA,"Yes",-3.3,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6250","Plecturocebus miltoni","Plecturocebus miltoni","Pitheciidae","Primates",NA,NA,"Yes",-8.477052,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6251","Plecturocebus modestus","Plecturocebus modestus",NA,NA,NA,NA,"Yes",NA,"Endangered",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6252","Plecturocebus moloch","Plecturocebus moloch","Pitheciidae","Primates",NA,NA,"Yes",-4.92,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6253","Plecturocebus oenanthe","Plecturocebus oenanthe",NA,"Primates",NA,NA,"Yes",-7.044167,"Critically Endangered",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6254","Plecturocebus olallae","Plecturocebus olallae",NA,NA,NA,NA,"Yes",NA,"Endangered",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6255","Plecturocebus ornatus","Callicebus ornatus",NA,NA,NA,NA,"No",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6256","Plecturocebus pallescens","Plecturocebus pallescens",NA,"Primates",NA,NA,"Yes",-19.9990185,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6257","Plecturocebus parecis",NA,NA,NA,NA,NA,"No",NA,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6258","Plecturocebus stephennashi","Plecturocebus stephennashi",NA,NA,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6259","Plecturocebus toppini","Plecturocebus toppini",NA,"Primates",NA,NA,"Yes",-12.279633,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6260","Plecturocebus urubambensis","Plecturocebus urubambensis",NA,NA,NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6261","Plecturocebus vieirai","Plecturocebus vieirai","Pitheciidae","Primates",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6262","Plerotes anchietae","Plerotes anchietae","Pteropodidae","Chiroptera",120.64,0,"Yes",-10.56028,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6263","Plesiobalaenoptera quarantellii","Plesiobalaenoptera quarantellii",NA,"Cetacea",NA,NA,"Yes",44.833332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6264","Pliogulo dudleyi","Pliogulo dudleyi",NA,"Carnivora",NA,NA,"Yes",31.554861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6265","Pliopithecus platyodon","Pliopithecus platyodon",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6266","Podogymnura aureospinula","Podogymnura aureospinula","Erinaceidae","Erinaceomorpha",247,1,"Yes",10.34,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6267","Podogymnura truei","Podogymnura truei","Erinaceidae","Erinaceomorpha",114,1,"Yes",8.1166,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6268","Podomys floridanus","Podomys floridanus","Cricetidae","Rodentia",30.8,1,"Yes",29.204671,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6269","Podoxymys roraimae","Podoxymys roraimae","Cricetidae","Rodentia",33.8,1,"Yes",5.21,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6270","Poecilogale albinucha","Poecilogale albinucha","Mustelidae","Carnivora",340,1,"Yes",-1.3,"Least Concern",NA,NA,"medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6271","Poecilogale doggetti","Poecilogale doggetti",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6272","Poelagus marjorita","Poelagus marjorita","Leporidae","Lagomorpha",2500,1,"Yes",3.733333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6273","Pogonomelomys brassi","Pogonomelomys bruijni",NA,NA,NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274","Pogonomelomys bruijni","Pogonomelomys bruijni","Muridae",NA,82.01,2,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6275","Pogonomelomys bruijnii","Pogonomelomys bruijni",NA,NA,NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6276","Pogonomelomys mayeri","Pogonomelomys mayeri","Muridae","Rodentia",109.7,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6277","Pogonomys championi","Pogonomys championi","Muridae","Rodentia",50.45,1,"Yes",-5.1,"Data Deficient",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6278","Pogonomys fergussoniensis","Pogonomys fergussoniensis","Muridae",NA,57.88,0,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6279","Pogonomys forbesi","Pogonomys forbesi",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6280","Pogonomys loriae","Pogonomys loriae","Muridae","Rodentia",95.13,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6281","Pogonomys macrourus","Pogonomys macrourus","Muridae","Rodentia",53.95,1,"Yes",-5.50773305224131,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6282","Pogonomys sylvestris","Pogonomys sylvestris","Muridae","Rodentia",43.35,1,"Yes",-5.91059440980664,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6283","Poiana leightoni","Poiana leightoni","Viverridae","Carnivora",500,0,"Yes",2.2667,"Vulnerable",NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6284","Poiana richardsonii","Poiana richardsonii","Viverridae","Carnivora",500,1,"Yes",2.2667,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6285","Poliocitellus franklinii","Poliocitellus franklinii","Sciuridae","Rodentia",NA,NA,"Yes",47.014175,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6286","Pongo abelii","Pongo abelii","Hominidae","Primates",39696.12,1,"Yes",3.5627095,"Critically Endangered",NA,NA,"pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6287","Pongo pygmaeus","Pongo pygmaeus","Hominidae","Primates",37000,1,"No",NA,"Critically Endangered",NA,NA,"food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6288","Pongo tapanuliensis","Pongo tapanuliensis","Hominidae","Primates",NA,NA,"Yes",NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6289","Pontoporia blainvillei","Pontoporia blainvillei","Iniidae","Cetacea",40500,1,"Yes",-34.37,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6290","Porcula salvania","Porcula salvania","Suidae","Artiodactyla",NA,NA,"Yes",NA,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6291","Porthocyon pugnator","Porthocyon pugnator",NA,"Carnivora",NA,NA,"Yes",27.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6292","Potamochoerus albifrons","Potamochoerus albifrons",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6293","Potamochoerus choeropotamus","Potamochoerus choeropotamus",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6294","Potamochoerus intermedius","Potamochoerus intermedius",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6295","Potamochoerus johnstoni","Potamochoerus johnstoni",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6296","Potamochoerus larvatus","Potamochoerus larvatus","Suidae","Artiodactyla",48781.25,1,"No",NA,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6297","Potamochoerus porcus","Potamochoerus porcus","Suidae","Artiodactyla",70000.32,1,"Yes",3.35,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6298","Potamogale velox","Potamogale velox","Tenrecidae","Afrosoricida",659.99,1,"Yes",2.9667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6299","Potorous gilbertii","Potorous gilbertii","Potoroidae","Diprotodontia",1569.46,1,"Yes",-35,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6300","Potorous longipes","Potorous longipes","Potoroidae","Diprotodontia",1900,1,"Yes",-37.38055,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
