"","species","ID","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory1","redlistCategory2","redlistCategory3","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16"
"6494","Pseudochirulus caroli",489414,"Pseudocheiridae","Diprotodontia",456.02,1,"Yes",-3.5,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6495","Pseudochirulus cinereus",3607080,"Pseudocheiridae","Diprotodontia",977.48,1,"Yes",-16.458213,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6496","Pseudochirulus forbesi",312920,"Pseudocheiridae","Diprotodontia",639.16,1,"Yes",-5.841,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6497","Pseudochirulus herbertensis",617395,"Pseudocheiridae","Diprotodontia",1098.34,1,"Yes",-17.427837,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6498","Pseudochirulus larvatus",3607079,"Pseudocheiridae","Diprotodontia",448.3,0,"Yes",-6.610833,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6499","Pseudochirulus mayeri",617398,"Pseudocheiridae","Diprotodontia",151.75,1,"Yes",-5.5654,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6500","Pseudochirulus schlegeli",3607078,"Pseudocheiridae",NA,255.44,1,"Yes",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6501","Pseudocynodictis pavidus",4117987,NA,"Carnivora",NA,NA,"Yes",43.200001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6502","Pseudohydromys berniceae",6144923,NA,"Rodentia",NA,NA,"Yes",-10.2826,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6503","Pseudohydromys carlae",6144924,NA,NA,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6504","Pseudohydromys eleanorae",6144925,NA,NA,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6505","Pseudohydromys ellermani",449861,"Muridae","Rodentia",21.4,1,"Yes",-6.65003658088917,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6506","Pseudohydromys fuscus",3608676,"Muridae","Rodentia",18.74,1,"Yes",-5.94574108709997,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6507","Pseudohydromys germani",3608678,NA,NA,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6508","Pseudohydromys murinus",3608677,"Muridae","Rodentia",16.8,1,"Yes",-7.43128040889141,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6509","Pseudohydromys musseri",48240,NA,NA,NA,NA,"No",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6510","Pseudohydromys occidentalis",3608675,"Muridae","Rodentia",21.9,1,"Yes",-4.99958712632554,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6511","Pseudohydromys patriciae",6144926,NA,NA,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6512","Pseudohydromys pumehanae",6144927,NA,"Rodentia",NA,NA,"Yes",-6.57366539683685,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6513","Pseudohydromys sandrae",6144928,NA,NA,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6514","Pseudois nayaur",513791,"Bovidae","Artiodactyla",45000,1,"No",NA,"Least Concern",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6515","Pseudois schaeferi",317128,"Bovidae","Artiodactyla",29250,1,"Yes",33.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6516","Pseudomys albocinereus",449863,"Muridae","Rodentia",30.5,1,"Yes",-30.140278,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6517","Pseudomys apodemoides",449857,"Muridae","Rodentia",20,1,"Yes",-35.8117,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6518","Pseudomys auritus",817778,NA,NA,NA,NA,"No",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6519","Pseudomys australis",817778,"Muridae","Rodentia",65,1,"Yes",-29.74647,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6520","Pseudomys bolami",449859,"Muridae","Rodentia",15.5,1,"Yes",-31.86316,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6521","Pseudomys calabyi",449853,"Muridae","Rodentia",19.5,1,"Yes",-13.42314,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6522","Pseudomys chapmani",527517,"Muridae","Rodentia",12,1,"Yes",-22.7,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6523","Pseudomys delicatulus",449855,"Muridae","Rodentia",11,1,"Yes",-15.381495,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6524","Pseudomys desertor",936224,"Muridae","Rodentia",25,1,"Yes",-23.698577,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6525","Pseudomys fieldi",449849,"Muridae","Rodentia",45,1,"Yes",-24.9,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6526","Pseudomys fumeus",449851,"Muridae","Rodentia",70,1,"Yes",-37.13,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6527","Pseudomys glaucus",3608731,"Muridae",NA,27.5,1,"Yes",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6528","Pseudomys gouldii",3608732,"Muridae","Rodentia",50,1,"Yes",-30.5,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6529","Pseudomys gracilicaudatus",976065,"Muridae","Rodentia",74.75,1,"Yes",-22.4478,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6530","Pseudomys hermannsburgensis",936226,"Muridae","Rodentia",12,1,"Yes",-25.350588,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6531","Pseudomys higginsi",976063,"Muridae","Rodentia",67,1,"Yes",-41.65,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6532","Pseudomys johnsoni",976069,"Muridae","Rodentia",12,1,"Yes",-18.75,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6533","Pseudomys laborifex",976067,"Muridae","Rodentia",12,1,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6534","Pseudomys nanus",936229,"Muridae","Rodentia",34,1,"Yes",-15.47609,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6535","Pseudomys novaehollandiae",976057,"Muridae","Rodentia",20,1,"Yes",-33.195553,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6536","Pseudomys occidentalis",976055,"Muridae","Rodentia",34,1,"Yes",-33,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6537","Pseudomys oralis",976061,"Muridae","Rodentia",95,1,"Yes",-30.154925,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6538","Pseudomys patrius",976059,"Muridae","Rodentia",15,1,"Yes",-22.2394135,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6539","Pseudomys pilligaensis",976053,"Muridae","Rodentia",11,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6540","Pseudomys shortridgei",976051,"Muridae","Rodentia",70,1,"Yes",-37.616,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6541","Pseudonovibos spiralis",390365,"Bovidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6542","Pseudopotto martini",4941439,"Lorisidae",NA,474.8,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6543","Pseudorca crassidens",209644,"Delphinidae","Cetacea",1360000,1,"Yes",6.3743925,"Not Applicable","Near Threatened",NA,"food_animal","food_human","handicrafts_jewellery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544","Pseudoryx nghetinhensis",1054629,"Bovidae","Artiodactyla",97842.2,1,"Yes",17.342537,"Critically Endangered",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6545","Pseudoryzomys simplex",38050,"Cricetidae","Rodentia",51.25,1,"Yes",-22.60865,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6546","Ptenochirus jagori",448931,"Pteropodidae","Chiroptera",77.25,1,"Yes",11.5017,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6547","Ptenochirus minor",200150,"Pteropodidae","Chiroptera",36.25,1,"Yes",10.77,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6548","Pteralopex acrodonta",48401,"Pteropodidae","Chiroptera",250.5,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6549","Pteralopex anceps",3613527,"Pteropodidae","Chiroptera",560.36,1,"Yes",-5.67259219669394,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6550","Pteralopex atrata",164526,"Pteropodidae","Chiroptera",472,1,"Yes",-9.5000515,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6551","Pteralopex flanneryi",3613525,NA,"Chiroptera",NA,NA,"Yes",-6.32250654981908,"Critically Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6552","Pteralopex pulchra",3613526,"Pteropodidae",NA,280,1,"Yes",NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6553","Pteralopex taki",3613524,"Pteropodidae","Chiroptera",369.06,0,"Yes",-8.45754,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6554","Pteromys alboniger",7654920,NA,"Rodentia",NA,NA,"Yes",23.761118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6555","Pteromyscus pulverulentus",427308,"Sciuridae","Rodentia",334.25,1,"Yes",2.37,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6556","Pteromys momonga",659104,"Sciuridae","Rodentia",297.41,2,"Yes",36.5,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6557","Pteromys volans",384219,"Sciuridae","Rodentia",143.75,1,"Yes",60.861182,"Data Deficient","Least Concern",NA,"wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6558","Pteronotus alitonus",7067797,"Mormoopidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6559","Pteronotus davyi",759858,"Mormoopidae","Chiroptera",9.21,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6560","Pteronotus fuliginosus",167327,"Mormoopidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6561","Pteronotus gymnonotus",554240,"Mormoopidae","Chiroptera",14.43,1,"Yes",10.3817,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6562","Pteronotus macleayii",554244,"Mormoopidae","Chiroptera",5.35,1,"Yes",18.20687,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6563","Pteronotus mesoamericanus",6146437,"Mormoopidae","Chiroptera",NA,NA,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6564","Pteronotus paraguanensis",NA,NA,NA,NA,NA,"No",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6565","Pteronotus parnellii",867405,"Mormoopidae","Chiroptera",19.67,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6566","Pteronotus personatus",554238,"Mormoopidae","Chiroptera",8.71,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6567","Pteronotus pristinus",3614025,"Mormoopidae","Chiroptera",9.25,0,"Yes",21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6568","Pteronotus pusillus",167316,"Mormoopidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6569","Pteronotus quadridens",554242,"Mormoopidae","Chiroptera",5.16,1,"Yes",18.4333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6570","Pteronotus rubiginosus",994100,"Mormoopidae","Chiroptera",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6571","Pteronura brasiliensis",397142,"Mustelidae","Carnivora",23999.93,1,"Yes",-14.537879,"Endangered",NA,NA,"food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6572","Pteropus admiralitatum",164528,"Pteropodidae","Chiroptera",299.9,1,"No",NA,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6573","Pteropus aldabrensis",1034141,"Pteropodidae","Chiroptera",305,1,"Yes",-9.3592405,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6574","Pteropus alecto",813028,"Pteropodidae","Chiroptera",643.57,1,"Yes",-28.6588775,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6575","Pteropus allenorum",6146400,NA,NA,NA,NA,"Yes",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6576","Pteropus anetianus",673800,"Pteropodidae","Chiroptera",426,1,"No",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6577","Pteropus aruensis",3613485,"Pteropodidae",NA,361.25,0,"Yes",NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6578","Pteropus aterrimus",7656286,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6579","Pteropus banakrisi",813028,"Pteropodidae",NA,225,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6580","Pteropus brunneus",3613470,"Pteropodidae","Chiroptera",200,1,"Yes",-27.387145,"Extinct",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6581","Pteropus caniceps",3613500,"Pteropodidae","Chiroptera",505,1,"Yes",0.88,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6582","Pteropus capistratus",609464,"Pteropodidae","Chiroptera",247.5,1,"No",NA,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6583","Pteropus chrysoproctus",3613473,"Pteropodidae","Chiroptera",710,1,"Yes",-2.980287,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6584","Pteropus cognatus",673799,"Pteropodidae","Chiroptera",361.25,0,"Yes",-10.5735615,"Vulnerable",NA,NA,"food_human","handicrafts_jewellery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6585","Pteropus conspicillatus",67622,"Pteropodidae","Chiroptera",775.7,1,"Yes",-16.25,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6586","Pteropus coxi",6146401,NA,NA,NA,NA,"Yes",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6587","Pteropus dasymallus",608040,"Pteropodidae","Chiroptera",435,1,"No",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6588","Pteropus degener",7656287,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6589","Pteropus faunulus",383385,"Pteropodidae","Chiroptera",344.76,2,"Yes",7,"Endangered",NA,NA,"medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6590","Pteropus fundatus",744668,"Pteropodidae","Chiroptera",205.65,1,"Yes",-13.8389,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6591","Pteropus giganteus",588290,"Pteropodidae","Chiroptera",804.17,1,"Yes",12.42436,"Least Concern",NA,NA,"food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6592","Pteropus gilliardorum",3613472,"Pteropodidae","Chiroptera",406.94,1,"Yes",-4.4172,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6593","Pteropus griseus",3613499,"Pteropodidae","Chiroptera",269,1,"Yes",-4.89382,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6594","Pteropus howensis",3613475,"Pteropodidae",NA,232.93,1,"Yes",NA,"Data Deficient",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6595","Pteropus hypomelanus",813040,"Pteropodidae","Chiroptera",428.14,1,"Yes",9.1666,"Near Threatened",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6596","Pteropus insularis",3613489,"Pteropodidae","Chiroptera",282.86,2,"Yes",7.374085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6597","Pteropus intermedius",3613501,"Pteropodidae",NA,361.25,0,"Yes",NA,"Data Deficient",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6598","Pteropus keyensis",3613486,"Pteropodidae","Chiroptera",361.25,0,"Yes",-5.651444,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6599","Pteropus leucopterus",740197,"Pteropodidae","Chiroptera",340,1,"No",NA,NA,NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6600","Pteropus livingstonii",1034139,"Pteropodidae","Chiroptera",734.27,1,"Yes",-12.27,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6601","Pteropus lombocensis",3613497,"Pteropodidae","Chiroptera",250.3,1,"Yes",-8.738603,"Data Deficient",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6602","Pteropus loochoensis",3613495,"Pteropodidae","Chiroptera",361.25,0,"Yes",26.59155,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6603","Pteropus lylei",630309,"Pteropodidae","Chiroptera",316.67,1,"Yes",11.582786,"Vulnerable",NA,NA,"food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6604","Pteropus macrotis",839849,"Pteropodidae","Chiroptera",357,1,"Yes",-5.3694,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6605","Pteropus mahaganus",3613496,"Pteropodidae","Chiroptera",251.4,1,"Yes",-8.024402,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6606","Pteropus mariannus",340692,"Pteropodidae","Chiroptera",453.5,1,"Yes",9.528306,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6607","Pteropus melanopogon",3613477,"Pteropodidae","Chiroptera",860,1,"Yes",-3.122728,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6608","Pteropus melanotus",3613493,"Pteropodidae","Chiroptera",344.76,2,"No",NA,"Vulnerable",NA,NA,"food_animal","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6609","Pteropus molossinus",340694,"Pteropodidae","Chiroptera",284.21,2,"Yes",6.872509,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610","Pteropus myoti",6146402,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6611","Pteropus neohibernicus",673797,"Pteropodidae","Chiroptera",966.79,1,"Yes",-4.3667,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6612","Pteropus niger",673798,"Pteropodidae","Chiroptera",456.25,1,"Yes",-20.29532,"Endangered",NA,NA,"food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6613","Pteropus nitendiensis",3613483,"Pteropodidae","Chiroptera",265,1,"Yes",-10.7199,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6614","Pteropus ocularis",673795,"Pteropodidae","Chiroptera",220,1,"Yes",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6615","Pteropus ornatus",673796,"Pteropodidae","Chiroptera",330,1,"Yes",-22.133329,"Vulnerable",NA,NA,"food_human","other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6616","Pteropus pelagicus",3613491,"Pteropodidae","Chiroptera",NA,NA,"Yes",NA,"Endangered",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6617","Pteropus pelewensis",3613502,"Pteropodidae","Chiroptera",361.25,0,"No",NA,"Vulnerable",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6618","Pteropus personatus",673804,"Pteropodidae","Chiroptera",127.5,1,"Yes",0.88,"Least Concern",NA,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6619","Pteropus petersi",7656288,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6620","Pteropus pilosus",3613482,"Pteropodidae",NA,361.25,0,"Yes",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
